feature_set	model	roc_auc	pr_auc
baseline	logreg	0.5	0.4777777777777777
baseline	rf	0.5	0.4777777777777777
baseline	xgb	0.5	0.4777777777777777
omics	logreg	0.1525	0.4011111111111111
omics	rf	0.295	0.4636706349206349
omics	xgb	0.255	0.4324206349206349
omics	rf_tuned	0.295	0.4636706349206349
omics	xgb_tuned	0.5	0.4777777777777777
omics	rf_tuned	0.3075	0.4807539682539682
omics	xgb_tuned	0.5	0.4777777777777777
omics	rf_tuned	0.3075	0.4807539682539682
omics	xgb_tuned	0.5	0.4777777777777777
omics	rf_tuned	0.5811111111111111	0.7928809523809525
omics	xgb_tuned	0.6555555555555556	0.8324920634920634
omics	rf_tuned	0.7566666666666666	0.7013888888888888
omics	xgb_tuned	0.7766666666666666	0.7016666666666668
omics	xgb_fine(md=3,lr=0.03,ss=0.8,cs=0.6,mcw=1,g=0,rl=1,n=800)	0.5816666666666667	0.5488095238095239
omics	xgb_fine(md=3,lr=0.03,ss=0.8,cs=0.6,mcw=1,g=0,rl=1,n=1200)	0.5816666666666667	0.5488095238095239
omics	xgb_fine(md=3,lr=0.03,ss=0.8,cs=0.6,mcw=1,g=0,rl=1,n=1600)	0.5816666666666667	0.5488095238095239
omics	xgb_fine(md=3,lr=0.03,ss=0.8,cs=0.6,mcw=1,g=0,rl=5,n=800)	0.6716666666666666	0.5994444444444443
omics	xgb_fine(md=3,lr=0.03,ss=0.8,cs=0.6,mcw=1,g=0,rl=5,n=1200)	0.6716666666666666	0.5994444444444443
omics	xgb_fine(md=3,lr=0.03,ss=0.8,cs=0.6,mcw=1,g=0,rl=5,n=1600)	0.6716666666666666	0.5994444444444443
omics	xgb_fine(md=3,lr=0.03,ss=0.8,cs=0.6,mcw=1,g=0,rl=10,n=800)	0.6783333333333333	0.5994444444444443
omics	xgb_fine(md=3,lr=0.03,ss=0.8,cs=0.6,mcw=1,g=0,rl=10,n=1200)	0.6783333333333333	0.5994444444444443
omics	xgb_fine(md=3,lr=0.03,ss=0.8,cs=0.6,mcw=1,g=0,rl=10,n=1600)	0.6783333333333333	0.5994444444444443
